# This data was rendered from sleepdata.txt.
# It was processed in the live-sleep-analyzer
# Values represent::     ID,xDeriv,yDeriv,zDeriv
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,-9,-3,6
20,3,1,2
21,-2,0,-3
22,-1,0,3
23,1,0,-1
24,0,1,1
25,1,0,0
26,-2,-1,-3
27,2,-1,-1
28,-1,0,2
29,1,-2,3
30,-1,4,0
31,0,0,-2
32,3,-1,-5
33,1,1,7
34,-2,-3,-4
35,1,1,1
36,-1,0,-2
37,1,0,3
38,-3,2,-2
39,2,-2,2
40,-1,1,-2
41,0,0,1
42,1,-1,-1
43,-3,2,1
44,3,0,-3
45,2,-1,1
46,-2,1,-2
47,-2,0,7
48,-1,-1,-4
49,-1,1,1
50,1,0,1
51,1,0,0
52,0,-1,1
53,3,-1,0
54,0,3,-7
55,-2,-2,4
56,1,-1,2
57,-1,2,-3
58,-3,-3,3
59,3,2,1
60,0,1,-4
61,-2,-1,3
62,1,0,-3
63,1,-1,4
64,3,-3,-13
65,-2,6,9
66,-2,-2,5
67,0,-4,-5
68,3,3,4
69,-3,0,-3
70,-6,6,12
71,10,-6,-11
72,-1,-5,-2
73,-1,3,3
74,-1,6,-2
75,-1,-1,6
76,4,0,-7
77,4,8,7
78,-2,-15,8
79,-8,-13,-16
80,-55,30,-11
81,111,24,17
82,-56,-27,18
83,47,-45,-51
84,-28,39,38
85,-7,-6,-7
86,-5,-9,-4
87,-5,9,-1
88,7,-10,5
89,-1,16,-6
90,5,0,4
91,15,-12,6
92,-167,-163,2
93,259,128,-77
94,-181,-125,28
95,-28,-11,70
96,24,-15,-73
97,39,-35,49
98,-37,158,34
99,8,-6,-49
100,9,19,22
101,-3,4,0
102,-4,-45,-17
103,37,63,0
104,-20,17,8
105,7,11,-1
106,-4,70,22
107,18,-83,-25
108,-15,-19,13
109,36,3,-20
110,-35,11,33
111,-13,-7,-25
112,-7,39,-26
113,5,-14,65
114,-7,-140,-101
115,3,130,31
116,21,45,29
117,9,-14,0
118,-7,-4,-8
119,-3,13,22
120,19,-19,-21
121,-22,22,23
122,14,-36,-29
123,-4,22,50
124,-5,-77,-67
125,-10,77,54
126,18,-33,-29
127,-7,12,14
128,29,12,-9
129,-27,-3,10
130,-60,13,-3
131,59,76,5
132,-31,-19,-17
133,5,17,7
134,25,5,20
135,-70,146,50
136,93,37,-33
137,-14,-165,-58
138,-27,-11,24
139,5,-1,-3
140,1,-4,0
141,-3,2,4
142,11,-1,-1
143,-13,-20,0
144,4,-12,0
145,-8,8,0
146,4,3,-3
147,0,5,2
148,3,-1,1
149,-3,3,2
150,0,-10,-4
151,1,2,6
152,1,0,-13
153,6,10,5
154,-7,10,6
155,13,2,-9
156,-6,1,-2
157,-4,-10,33
158,2,6,-40
159,8,-1,20
160,6,-3,-16
161,-22,-6,1
162,8,-13,1
163,10,26,12
164,-10,-3,-5
165,-2,-3,-1
166,4,11,0
167,-3,-2,1
168,-7,-8,17
169,2,7,-18
170,5,-7,11
171,-20,-27,17
172,10,-150,-126
173,-37,196,177
174,62,-20,-73
175,-30,-15,-11
176,-50,-59,-29
177,50,54,46
178,16,-30,-5
179,-28,33,4
180,40,10,-4
181,-4,13,-25
182,-13,-14,20
183,-135,-12,19
184,183,-24,-96
185,-40,43,73
186,-2,-5,1
187,0,2,7
188,-2,-3,-9
189,3,-8,8
190,-13,-14,-12
191,4,8,13
192,0,9,-2
193,2,-7,-2
194,0,2,0
195,4,3,4
196,2,2,-6
