# this file's ids were sanitized by the sleep-analyzer
# Values represent::     ID,xDeriv,yDeriv,zDeriv
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,-9,-3,6
19,-6,-2,8
20,-8,-2,5
21,-9,-2,8
22,-8,-2,7
23,-8,-1,8
24,-7,-1,8
25,-9,-2,5
26,-7,-3,4
27,-8,-3,6
28,-7,-5,9
29,-8,-1,9
30,-8,-1,7
31,-5,-2,2
32,-4,-1,9
33,-6,-4,5
34,-5,-3,6
35,-6,-3,4
36,-5,-3,7
37,-8,-1,5
38,-6,-3,7
39,-7,-2,5
40,-7,-2,6
41,-6,-3,5
42,-9,-1,6
43,-6,-1,3
44,-4,-2,4
45,-6,-1,2
46,-8,-1,9
47,-9,-2,5
48,-10,-1,6
49,-9,-1,7
50,-8,-1,7
51,-8,-2,8
52,-5,-3,8
53,-5,0,1
54,-7,-2,5
55,-6,-3,7
56,-7,-1,4
57,-10,-4,7
58,-7,-2,8
59,-7,-1,4
60,-9,-2,7
61,-8,-2,4
62,-7,-3,8
63,-4,-6,-5
64,-6,0,4
65,-8,-2,9
66,-8,-6,4
67,-5,-3,8
68,-8,-3,5
69,-14,3,17
70,-4,-3,6
71,-5,-8,4
72,-6,-5,7
73,-7,1,5
74,-8,0,11
75,-4,0,4
76,0,8,11
77,-2,-7,19
78,-10,-20,3
79,-65,10,-8
80,46,34,9
81,-10,7,27
82,37,-38,-24
83,9,1,14
84,2,-5,7
85,-3,-14,3
86,-8,-5,2
87,-1,-15,7
88,-2,1,1
89,3,1,5
90,18,-11,11
91,-149,-174,13
92,110,-46,-64
93,-71,-171,-36
94,-99,-182,34
95,-75,-197,-39
96,-36,-232,10
97,-73,-74,44
98,-65,-80,-5
99,-56,-61,17
100,-59,-57,17
101,-63,-102,0
102,-26,-39,0
103,-46,-22,8
104,-39,-11,7
105,-43,59,29
106,-25,-24,4
107,-40,-43,17
108,-4,-40,-3
109,-39,-29,30
110,-52,-36,5
111,-59,3,-21
112,-54,-11,44
113,-61,-151,-57
114,-58,-21,-26
115,-37,24,3
116,-28,10,3
117,-35,6,-5
118,-38,19,17
119,-19,0,-4
120,-41,22,19
121,-27,-14,-10
122,-31,8,40
123,-36,-69,-27
124,-46,8,27
125,-28,-25,-2
126,-35,-13,12
127,-6,-1,3
128,-33,-4,13
129,-93,9,10
130,-34,85,15
131,-65,66,-2
132,-60,83,5
133,-35,88,25
134,-105,234,75
135,-12,271,42
136,-26,106,-16
137,-53,95,8
138,-48,94,5
139,-47,90,5
140,-50,92,9
141,-39,91,8
142,-52,71,8
143,-48,59,8
144,-56,67,8
145,-52,70,5
146,-52,75,7
147,-49,74,8
148,-52,77,10
149,-52,67,6
150,-51,69,12
151,-50,69,-1
152,-44,79,4
153,-51,89,10
154,-38,91,1
155,-44,92,-1
156,-48,82,32
157,-46,88,-8
158,-38,87,12
159,-32,84,-4
160,-54,78,-3
161,-46,65,-2
162,-36,91,10
163,-46,88,5
164,-48,85,4
165,-44,96,4
166,-47,94,5
167,-54,86,22
168,-52,93,4
169,-47,86,15
170,-67,59,32
171,-57,-91,-94
172,-94,105,83
173,-32,85,10
174,-62,70,-1
175,-112,11,-30
176,-62,65,16
177,-46,35,11
178,-74,68,15
179,-34,78,11
180,-38,91,-14
181,-51,77,6
182,-186,65,25
183,-3,41,-71
184,-43,84,2
185,-45,79,3
186,-45,81,10
187,-47,78,1
188,-44,70,9
189,-57,56,-3
190,-53,64,10
191,-53,73,8
192,-51,66,6
