# Sample Sleep Data 
# Values represent::     ID,xDeriv,yDeriv,zDeriv
3,-6,0,5
4,-3,0,5
5,-4,-1,8
6,-4,-1,4
7,-3,-3,5
8,-4,-1,6
9,-2,-2,3
10,-4,0,4
11,-6,-1,6
12,-4,0,7
13,-3,0,7
14,-2,-2,6
15,-2,-1,8
16,-3,0,4
17,-4,-1,4
18,-2,0,5
19,-4,-1,7
20,-4,0,7
21,-2,-1,6
22,-3,0,5
23,-2,-2,7
24,-4,-1,5
25,-4,0,7
26,-3,0,7
27,-3,-1,7
28,-6,-1,6
29,-2,-1,4
30,-3,0,7
31,0,-2,5
32,-2,0,6
33,-3,-2,4
34,-2,0,7
35,-3,-2,6
36,-21,41,-3
37,-21,28,10
38,13,43,16
39,3,11,11
40,-4,8,4
41,-4,6,9
42,-5,8,6
43,-5,7,7
44,-6,7,6
45,-5,7,8
46,-3,8,7
47,-6,7,4
48,-6,8,6
49,-3,7,6
50,-7,9,7
51,-4,7,6
52,-5,8,3
53,-5,9,8
54,-4,9,8
55,-4,9,6
56,-6,7,5
57,-5,7,5
58,-4,8,4
59,2,8,1
60,-2,8,3
61,-2,9,3
62,-3,9,4
63,-2,9,3
64,-5,9,4
65,-5,8,7
66,-1,8,4
67,-1,7,-1
68,-1,9,9
69,-4,11,3
70,-5,19,14
71,-1,8,5
72,-3,6,10
73,-5,8,4
74,-4,7,9
75,-4,9,7
76,-5,7,7
77,-4,8,7
78,-1,10,4
79,-4,7,3
80,-5,8,9
81,-5,9,8
82,-4,8,8
83,-5,9,6
84,-3,8,5
85,-3,8,4
86,-1,7,3
87,-3,7,8
88,-6,7,9
89,-5,7,8
90,-6,7,8
91,-3,7,5
92,-6,7,8
93,-2,7,6
94,-1,8,2
95,-2,9,1
96,0,7,2
97,8,5,12
98,-8,27,-3
99,-1,10,5
100,1,7,1
101,-2,9,2
102,-1,10,-2
103,0,10,3
104,-2,10,0
105,2,10,-3
106,1,9,-1
107,-1,10,6
108,-1,7,6
109,-2,9,3
110,-1,8,-1
111,-5,7,8
112,-6,11,7
113,-6,9,4
114,-5,7,7
115,-7,10,8
116,-4,7,5
117,-3,7,6
118,-5,8,7
119,-5,7,5
120,-5,8,6
121,-4,9,4
122,-3,8,7
123,-4,9,4
124,-1,9,7
125,-4,8,8
126,-2,7,6
127,-3,10,6
128,-2,8,7
129,-4,9,5
130,-5,7,4
131,-5,8,5
132,-4,9,7
133,-6,9,4
134,-7,7,6
135,-5,7,5
136,-5,8,3
137,-4,7,5
138,-7,7,9
139,-4,7,3
140,-6,8,4
141,-6,9,8
142,-2,6,8
143,-3,7,5
144,-3,9,5
145,-4,8,5
146,-4,9,3
147,-3,8,6
148,-4,8,9
149,-6,8,6
150,-5,9,7
151,-3,7,6
152,-5,8,6
153,-6,7,8
154,-4,7,6
155,-6,6,3
156,-5,9,4
157,-7,7,6
158,-5,7,4
159,-5,9,0
160,-7,7,6
161,-5,8,6
162,-5,8,6
163,-4,7,4
164,-7,10,4
165,-4,8,4
166,-7,11,9
167,-5,7,7
168,-4,9,6
169,-6,8,4
170,-5,7,8
171,-2,7,5
172,-8,7,5
173,-5,9,7
174,-4,8,6
175,-6,9,4
176,-4,8,4
177,-5,7,5
178,-3,8,6
179,-6,8,7
180,-4,9,8
181,-5,8,6
182,-3,8,4
183,-5,8,5
184,-4,9,5
185,-3,6,1
186,-4,8,4
187,-3,7,5
188,-3,9,10
189,-4,8,6
190,-4,9,9
191,-5,8,6
192,-3,8,1
193,-6,9,7
194,-5,7,6
195,-5,11,6
196,-7,6,8
197,-3,9,5
198,-3,7,8
199,-5,8,7
200,-4,10,5
201,-7,5,7
202,-3,8,0
203,-3,7,6
204,-4,2,10
205,-2,14,4
206,-6,11,6
207,-4,8,5
208,-6,6,7
209,-3,8,3
210,-7,7,7
211,-4,9,4
212,-2,7,6
213,-6,9,5
214,-4,10,8
215,-6,7,7
216,-5,7,5
217,-4,7,5
218,-5,7,6
219,-5,8,8
220,-6,7,6
221,-7,11,12
222,-5,8,5
223,-5,9,8
224,-7,12,10
225,-6,8,5
226,-3,9,7
227,-5,8,8
228,-5,12,5
229,-6,8,7
230,-3,10,4
231,-6,7,8
232,-6,8,6
233,-6,8,6
234,-4,10,7
235,0,8,4
236,-6,9,8
237,-5,9,7
238,-6,7,6
239,-2,6,3
240,-14,8,5
241,2,11,12
242,-3,5,15
243,-6,10,8
244,-4,6,5
245,-5,11,7
246,-5,6,7
247,-2,7,5
248,-4,7,5
249,-5,8,7
250,-4,9,8
251,-5,8,6
252,-5,7,4
253,-5,8,6
254,-5,8,7
255,-3,7,5
256,-6,8,5
257,-6,8,5
258,-5,8,6
259,-3,7,7
260,-5,8,6
261,-6,7,8
262,-5,8,9
263,-5,7,6
264,-5,8,4
265,-5,7,7
266,-7,8,9
267,-2,7,5
268,-7,9,9
269,-3,8,8
270,-8,9,11
271,-4,8,5
272,-6,9,9
273,-4,6,6
274,-2,8,6
275,-4,8,7
276,-6,8,10
277,-5,7,8
278,-4,7,6
279,-7,7,7
280,-5,7,9
281,-3,9,9
282,-3,7,6
283,-5,9,9
284,-5,7,6
285,-4,7,3
286,-5,7,7
287,-5,8,6
288,-4,9,5
289,-5,8,6
290,-5,7,7
291,-5,9,8
292,-6,9,5
293,-4,9,8
294,-4,10,7
295,-2,8,1
296,-4,7,7
297,-4,8,9
298,-7,7,7
299,-3,7,7
300,-5,8,7
301,-5,8,10
302,-3,7,6
303,-6,7,7
304,-3,7,7
305,-7,8,7
306,-3,7,7
307,-4,7,7
308,-6,8,8
309,-6,8,6
310,-5,8,6
311,-5,8,8
312,-8,8,5
313,-4,7,6
314,-5,7,5
315,-4,8,10
316,-5,7,6
317,-4,8,7
318,-3,7,5
319,-7,8,5
320,-6,8,8
321,-7,10,7
322,-7,8,10
323,-5,7,8
324,-8,9,6
325,-6,7,4
326,-7,8,8
327,-7,8,7
328,-5,7,6
329,-4,8,8
330,-7,7,5
331,-5,7,8
332,-6,8,7
333,-5,9,6
334,-3,7,7
335,-6,8,4
336,-5,8,8
337,-5,7,7
338,-6,6,6
339,-4,7,7
340,-5,7,5
341,-7,8,6
342,-5,8,4
343,-4,8,8
344,-9,7,7
345,-5,7,8
346,-7,7,8
347,-7,7,9
348,-7,7,5
349,-7,9,6
350,-5,8,6
351,-6,8,5
352,-4,8,7
353,-5,7,9
354,-6,7,8
355,-4,8,8
356,-5,7,5
357,-7,10,8
358,-6,10,4
359,-6,7,6
360,-6,7,7
361,-6,8,6
362,-6,7,6
363,-2,7,6
364,-5,8,6
365,-6,8,8
366,-7,8,5
367,-3,7,5
368,-5,8,7
369,-8,8,4
370,-3,7,8
371,-2,7,10
372,-4,6,7
373,-7,7,4
374,-6,9,9
375,-5,9,6
376,-5,8,8
377,-5,8,6
378,-3,8,8
379,-3,7,8
380,-5,8,7
381,-4,8,7
382,-4,7,6
383,-5,7,7
384,-7,7,7
385,-3,9,6
386,-3,8,2
387,-6,8,4
388,-7,7,9
389,-6,8,7
390,-7,7,6
391,-5,9,6
392,-4,8,7
393,-5,9,8
394,-4,8,6
395,-5,7,8
396,-7,8,7
397,-5,8,6
398,-5,7,9
399,-5,7,9
400,-5,7,8
401,-5,8,6
402,-7,7,9
403,-4,7,8
404,-5,8,8
405,-5,7,6
406,-3,7,8
407,-5,7,8
408,-7,7,3
409,-7,8,8
410,-6,7,8
411,-5,8,7
412,-7,7,9
413,-5,8,4
414,-7,9,5
415,-5,7,7
416,-4,7,6
417,-6,7,8
418,-5,7,4
419,-8,8,6
420,-3,7,7
421,-6,8,7
422,-5,7,5
